index,Value
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,48.13543
2020-02-01,49.67038620689655
2020-02-02,51.205342413793105
2020-02-03,52.74029862068966
2020-02-04,54.27525482758621
2020-02-05,55.810211034482755
2020-02-06,57.34516724137931
2020-02-07,58.88012344827586
2020-02-08,60.41507965517241
2020-02-09,61.950035862068965
2020-02-10,63.48499206896552
2020-02-11,65.01994827586206
2020-02-12,66.55490448275862
2020-02-13,68.08986068965517
2020-02-14,69.62481689655172
2020-02-15,71.15977310344827
2020-02-16,72.69472931034483
2020-02-17,74.22968551724138
2020-02-18,75.76464172413793
2020-02-19,77.29959793103448
2020-02-20,78.83455413793104
2020-02-21,80.36951034482757
2020-02-22,81.90446655172414
2020-02-23,83.43942275862068
2020-02-24,84.97437896551725
2020-02-25,86.50933517241378
2020-02-26,88.04429137931035
2020-02-27,89.57924758620689
2020-02-28,91.11420379310344
2020-02-29,92.64916
2020-03-01,93.21203967741936
2020-03-02,93.7749193548387
2020-03-03,94.33779903225806
2020-03-04,94.90067870967741
2020-03-05,95.46355838709677
2020-03-06,96.02643806451613
2020-03-07,96.58931774193547
2020-03-08,97.15219741935483
2020-03-09,97.7150770967742
2020-03-10,98.27795677419354
2020-03-11,98.8408364516129
2020-03-12,99.40371612903225
2020-03-13,99.96659580645161
2020-03-14,100.52947548387095
2020-03-15,101.09235516129031
2020-03-16,101.65523483870967
2020-03-17,102.21811451612902
2020-03-18,102.78099419354838
2020-03-19,103.34387387096774
2020-03-20,103.90675354838709
2020-03-21,104.46963322580645
2020-03-22,105.0325129032258
2020-03-23,105.59539258064515
2020-03-24,106.15827225806451
2020-03-25,106.72115193548386
2020-03-26,107.28403161290322
2020-03-27,107.84691129032257
